字段,阶段,分位点,数值
fuel_expense_per_month,原始数据,0.01,16.698
fuel_expense_per_month,原始数据,0.02,37.9
fuel_expense_per_month,原始数据,0.03,53.9
fuel_expense_per_month,原始数据,0.04,67.3
fuel_expense_per_month,原始数据,0.05,78.7
fuel_expense_per_month,原始数据,0.060000000000000005,89.5
fuel_expense_per_month,原始数据,0.06999999999999999,98.9
fuel_expense_per_month,原始数据,0.08,107.9
fuel_expense_per_month,原始数据,0.09,115.7
fuel_expense_per_month,原始数据,0.09999999999999999,123.2
fuel_expense_per_month,原始数据,0.11,130.9
fuel_expense_per_month,原始数据,0.12,137.9
fuel_expense_per_month,原始数据,0.13,144.3
fuel_expense_per_month,原始数据,0.14,150.8
fuel_expense_per_month,原始数据,0.15000000000000002,156.9
fuel_expense_per_month,原始数据,0.16,162.38400000000001
fuel_expense_per_month,原始数据,0.17,167.8
fuel_expense_per_month,原始数据,0.18000000000000002,172.9
fuel_expense_per_month,原始数据,0.19,177.8
fuel_expense_per_month,原始数据,0.2,182.7
fuel_expense_per_month,原始数据,0.21000000000000002,187.6
fuel_expense_per_month,原始数据,0.22,191.8
fuel_expense_per_month,原始数据,0.23,196.3
fuel_expense_per_month,原始数据,0.24000000000000002,200.8
fuel_expense_per_month,原始数据,0.25,205.2
fuel_expense_per_month,原始数据,0.26,209.2
fuel_expense_per_month,原始数据,0.27,213.27300000000014
fuel_expense_per_month,原始数据,0.28,217.3
fuel_expense_per_month,原始数据,0.29000000000000004,221.2
fuel_expense_per_month,原始数据,0.3,224.9
fuel_expense_per_month,原始数据,0.31,229.0
fuel_expense_per_month,原始数据,0.32,232.6
fuel_expense_per_month,原始数据,0.33,236.3
fuel_expense_per_month,原始数据,0.34,240.1
fuel_expense_per_month,原始数据,0.35000000000000003,243.7
fuel_expense_per_month,原始数据,0.36000000000000004,247.2
fuel_expense_per_month,原始数据,0.37,250.7
fuel_expense_per_month,原始数据,0.38,254.3
fuel_expense_per_month,原始数据,0.39,257.9
fuel_expense_per_month,原始数据,0.4,261.6
fuel_expense_per_month,原始数据,0.41000000000000003,264.9
fuel_expense_per_month,原始数据,0.42000000000000004,268.0
fuel_expense_per_month,原始数据,0.43,271.3
fuel_expense_per_month,原始数据,0.44,274.7
fuel_expense_per_month,原始数据,0.45,277.9
fuel_expense_per_month,原始数据,0.46,281.3
fuel_expense_per_month,原始数据,0.47000000000000003,284.95300000000026
fuel_expense_per_month,原始数据,0.48000000000000004,288.2
fuel_expense_per_month,原始数据,0.49,291.5
fuel_expense_per_month,原始数据,0.5,294.8
fuel_expense_per_month,原始数据,0.51,298.0
fuel_expense_per_month,原始数据,0.52,301.3
fuel_expense_per_month,原始数据,0.53,304.6
fuel_expense_per_month,原始数据,0.54,307.8
fuel_expense_per_month,原始数据,0.55,311.0
fuel_expense_per_month,原始数据,0.56,314.4
fuel_expense_per_month,原始数据,0.5700000000000001,317.7
fuel_expense_per_month,原始数据,0.5800000000000001,320.8
fuel_expense_per_month,原始数据,0.59,324.1
fuel_expense_per_month,原始数据,0.6,327.4
fuel_expense_per_month,原始数据,0.61,330.9
fuel_expense_per_month,原始数据,0.62,334.3
fuel_expense_per_month,原始数据,0.63,337.6
fuel_expense_per_month,原始数据,0.64,341.0
fuel_expense_per_month,原始数据,0.65,344.6
fuel_expense_per_month,原始数据,0.66,348.3
fuel_expense_per_month,原始数据,0.67,351.8
fuel_expense_per_month,原始数据,0.68,355.5
fuel_expense_per_month,原始数据,0.6900000000000001,359.0
fuel_expense_per_month,原始数据,0.7000000000000001,362.9
fuel_expense_per_month,原始数据,0.7100000000000001,366.9
fuel_expense_per_month,原始数据,0.72,370.6
fuel_expense_per_month,原始数据,0.73,374.7
fuel_expense_per_month,原始数据,0.74,378.8
fuel_expense_per_month,原始数据,0.75,383.0
fuel_expense_per_month,原始数据,0.76,387.2
fuel_expense_per_month,原始数据,0.77,391.3
fuel_expense_per_month,原始数据,0.78,396.3
fuel_expense_per_month,原始数据,0.79,401.0
fuel_expense_per_month,原始数据,0.8,405.5
fuel_expense_per_month,原始数据,0.81,410.4190000000002
fuel_expense_per_month,原始数据,0.8200000000000001,415.218
fuel_expense_per_month,原始数据,0.8300000000000001,420.3
fuel_expense_per_month,原始数据,0.8400000000000001,425.4
fuel_expense_per_month,原始数据,0.85,431.2
fuel_expense_per_month,原始数据,0.86,436.7
fuel_expense_per_month,原始数据,0.87,443.1
fuel_expense_per_month,原始数据,0.88,449.3
fuel_expense_per_month,原始数据,0.89,456.6
fuel_expense_per_month,原始数据,0.9,463.9
fuel_expense_per_month,原始数据,0.91,471.8
