字段,阶段,样本数,均值,标准差,最小值,下四分位数,中位数,上四分位数,最大值,偏度
annual_income,原始数据,50000,44311.86938,26109.170784476086,5104.0,25617.75,37891.0,56051.25,250000.0,1.6507888986092154
annual_income,规则清洗后,50000,44311.86938,26109.170784476086,5104.0,25617.75,37891.0,56051.25,250000.0,1.6507888986092154
annual_income,参考插补后,50000,44311.86938,26109.170784476086,5104.0,25617.75,37891.0,56051.25,250000.0,1.6507888986092154
daily_commute_km,原始数据,50000,35.169357999999995,14.736041527025964,5.0,25.0,35.1,45.2,97.9,0.12723130350867326
daily_commute_km,规则清洗后,50000,35.169357999999995,14.736041527025964,5.0,25.0,35.1,45.2,97.9,0.12723130350867326
daily_commute_km,参考插补后,50000,35.169357999999995,14.736041527025964,5.0,25.0,35.1,45.2,97.9,0.12723130350867326
weekly_travel_distance_km,原始数据,50000,228.7272,101.14725360927135,25.0,157.7,224.1,294.5,732.3,0.31725945174586445
weekly_travel_distance_km,规则清洗后,50000,228.7272,101.14725360927135,25.0,157.7,224.1,294.5,732.3,0.31725945174586445
weekly_travel_distance_km,参考插补后,50000,228.7272,101.14725360927135,25.0,157.7,224.1,294.5,732.3,0.31725945174586445
fuel_expense_per_month,原始数据,50000,295.169608,130.17855246021423,-99.7,205.2,294.8,383.0,862.0,0.1044058610067891
fuel_expense_per_month,规则清洗后,49729,296.88173098192203,128.43846212087203,0.0,206.6,295.6,383.5,862.0,0.14976313053400156
fuel_expense_per_month,参考插补后,50000,296.87641,128.08993427407614,0.0,207.1,295.9,383.0,862.0,0.1502951755320572
charging_station_accessibility,原始数据,49500,5.8929474747474755,2.1521857335401746,1.0,4.4,5.9,7.4,10.0,-0.07211197896260853
charging_station_accessibility,规则清洗后,49500,5.8929474747474755,2.1521857335401746,1.0,4.4,5.9,7.4,10.0,-0.07211197896260853
charging_station_accessibility,参考插补后,50000,5.893018,2.1413976658610765,1.0,4.4,5.9,7.4,10.0,-0.07257403839538502
nearest_charging_station_km,原始数据,50000,7.13237,4.801991791496869,0.5,3.0,6.9,10.7,28.5,0.3394789363015224
nearest_charging_station_km,规则清洗后,50000,7.13237,4.801991791496869,0.5,3.0,6.9,10.7,28.5,0.3394789363015224
nearest_charging_station_km,参考插补后,50000,7.13237,4.801991791496869,0.5,3.0,6.9,10.7,28.5,0.3394789363015224
ev_knowledge_score,原始数据,49500,6.755672727272728,1.945842308852041,1.0,5.3,7.0,8.3,10.0,-0.36922219775109966
ev_knowledge_score,规则清洗后,49500,6.755672727272728,1.945842308852041,1.0,5.3,7.0,8.3,10.0,-0.36922219775109966
ev_knowledge_score,参考插补后,50000,6.758115999999999,1.9362410777416696,1.0,5.4,7.0,8.3,10.0,-0.37476006666936
monthly_energy_consumption_kwh,原始数据,50000,186.74026,88.24530200638968,15.6,124.5,179.3,241.5,645.9,0.5387729401491574
monthly_energy_consumption_kwh,规则清洗后,50000,186.74026,88.24530200638968,15.6,124.5,179.3,241.5,645.9,0.5387729401491574
monthly_energy_consumption_kwh,参考插补后,50000,186.74026,88.24530200638968,15.6,124.5,179.3,241.5,645.9,0.5387729401491574
monthly_charging_cost,原始数据,50000,40.235028,24.940342769359948,1.4,21.6,35.2,54.1,199.6,1.067244173681567
monthly_charging_cost,规则清洗后,50000,40.235028,24.940342769359948,1.4,21.6,35.2,54.1,199.6,1.067244173681567
monthly_charging_cost,参考插补后,50000,40.235028,24.940342769359948,1.4,21.6,35.2,54.1,199.6,1.067244173681567
