任务,字段,五折准确率均值,五折准确率标准差,多数类基线,超基线幅度,泄漏风险
任务一,ev_knowledge_score,0.73038,0.0028392956873140025,0.5934,0.13698,低
任务一,environmental_awareness_score,0.7044,0.0017944358444926362,0.5934,0.11099999999999999,低
任务一,technology_affinity_score,0.69506,0.0017984437717093135,0.5934,0.10165999999999997,低
任务一,annual_income,0.5996600000000001,0.0009830564581955472,0.5934,0.006260000000000043,低
任务一,age,0.5934,0.0,0.5934,0.0,低
任务一,education_level,0.5934,0.0,0.5934,0.0,低
任务一,city_type,0.5934,0.0,0.5934,0.0,低
任务一,daily_commute_km,0.5934,0.0,0.5934,0.0,低
任务一,weekly_travel_distance_km,0.5934,0.0,0.5934,0.0,低
任务一,current_vehicle_type,0.5934,0.0,0.5934,0.0,低
任务一,vehicle_age_years,0.5934,0.0,0.5934,0.0,低
任务一,fuel_expense_per_month,0.5934,0.0,0.5934,0.0,低
任务一,charging_station_accessibility,0.5934,0.0,0.5934,0.0,低
任务一,nearest_charging_station_km,0.5934,0.0,0.5934,0.0,低
任务一,electricity_cost_per_kwh,0.5934,0.0,0.5934,0.0,低
任务一,government_incentive_awareness,0.5934,0.0,0.5934,0.0,低
任务一,battery_replacement_concern,0.5934,0.0,0.5934,0.0,低
任务一,previous_ev_experience,0.5934,0.0,0.5934,0.0,低
任务一,monthly_energy_consumption_kwh,0.5934,0.0,0.5934,0.0,低
任务一,monthly_charging_cost,0.5934,0.0,0.5934,0.0,低
任务三,ev_knowledge_score,0.76888,0.0035555027773860643,0.5079,0.26098,低
任务三,technology_affinity_score,0.7629400000000001,0.002936392344357273,0.5079,0.25504000000000004,低
任务三,environmental_awareness_score,0.7415,0.0042398113165564195,0.5079,0.23360000000000003,低
任务三,annual_income,0.6576799999999999,0.005032057233378819,0.5079,0.1497799999999999,低
任务三,battery_replacement_concern,0.5080199999999999,0.00023999999999997358,0.5079,0.00011999999999989797,低
任务三,age,0.5079,0.0,0.5079,0.0,低
任务三,city_type,0.5079,0.0,0.5079,0.0,低
任务三,vehicle_age_years,0.5079,0.0,0.5079,0.0,低
任务三,charging_station_accessibility,0.5079,0.0,0.5079,0.0,低
任务三,nearest_charging_station_km,0.5079,0.0,0.5079,0.0,低
任务三,electricity_cost_per_kwh,0.5079,0.0,0.5079,0.0,低
任务三,previous_ev_experience,0.5079,0.0,0.5079,0.0,低
任务三,daily_commute_km,0.50786,7.999999999999118e-05,0.5079,-4.0000000000040004e-05,低
任务三,government_incentive_awareness,0.50786,0.0001624807680927013,0.5079,-4.0000000000040004e-05,低
任务三,monthly_charging_cost,0.50782,0.0001600000000000268,0.5079,-7.999999999996898e-05,低
任务三,weekly_travel_distance_km,0.50764,0.000519999999999987,0.5079,-0.000260000000000038,低
任务三,monthly_energy_consumption_kwh,0.50762,0.0003655133376499521,0.5079,-0.000280000000000058,低
任务三,education_level,0.50756,0.000783836717690615,0.5079,-0.00034000000000000696,低
任务三,fuel_expense_per_month,0.5075200000000001,0.000760000000000005,0.5079,-0.00037999999999993594,低
任务三,current_vehicle_type,0.5063000000000001,0.0032000000000000028,0.5079,-0.0015999999999999348,低
任务二,age,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,annual_income,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,education_level,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,city_type,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,daily_commute_km,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,weekly_travel_distance_km,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,current_vehicle_type,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,vehicle_age_years,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,fuel_expense_per_month,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,charging_station_accessibility,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,nearest_charging_station_km,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,electricity_cost_per_kwh,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,environmental_awareness_score,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,government_incentive_awareness,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,technology_affinity_score,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,battery_replacement_concern,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,ev_knowledge_score,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,previous_ev_experience,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,monthly_energy_consumption_kwh,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
任务二,monthly_charging_cost,0.6497600000000001,4.898979485565817e-05,0.64976,1.1102230246251565e-16,低
