字段,原始类型,清洗后类型,原始缺失数,规则清洗后缺失数,参考插补后缺失数,唯一值数,是否目标或派生结果
age,int64,float64,0,0,0,49,否
annual_income,int64,float64,0,0,0,36354,否
education_level,str,string,500,500,0,4,否
city_type,str,string,0,0,0,3,否
daily_commute_km,float64,float64,0,0,0,796,否
weekly_travel_distance_km,float64,float64,0,0,0,4884,否
current_vehicle_type,str,string,0,0,0,4,否
vehicle_age_years,float64,float64,0,0,0,169,否
fuel_expense_per_month,float64,float64,0,271,0,6201,否
charging_station_accessibility,float64,float64,500,500,0,91,否
nearest_charging_station_km,float64,float64,0,0,0,241,否
home_charging_available,int64,float64,0,0,0,2,是
electricity_cost_per_kwh,float64,float64,0,0,0,28,否
environmental_awareness_score,float64,float64,0,0,0,81,否
government_incentive_awareness,float64,float64,0,0,0,91,否
technology_affinity_score,float64,float64,0,0,0,81,否
range_anxiety_score,float64,float64,0,0,0,81,是
battery_replacement_concern,float64,float64,0,0,0,91,否
ev_knowledge_score,float64,float64,500,500,0,91,否
previous_ev_experience,int64,float64,0,0,0,2,否
ev_adoption_likelihood,str,string,0,0,0,3,是
monthly_energy_consumption_kwh,float64,float64,0,0,0,4408,是
monthly_charging_cost,float64,float64,0,0,0,1418,是
