记录键,字段,问题类型,原始值,处理后值,处理方式
19,fuel_expense_per_month,业务范围异常,-0.7,,"超出[0, inf]，转为缺失值"
28,fuel_expense_per_month,业务范围异常,-0.8,,"超出[0, inf]，转为缺失值"
30,fuel_expense_per_month,业务范围异常,-19.2,,"超出[0, inf]，转为缺失值"
138,fuel_expense_per_month,业务范围异常,-11.9,,"超出[0, inf]，转为缺失值"
493,fuel_expense_per_month,业务范围异常,-4.5,,"超出[0, inf]，转为缺失值"
689,fuel_expense_per_month,业务范围异常,-22.5,,"超出[0, inf]，转为缺失值"
747,fuel_expense_per_month,业务范围异常,-9.2,,"超出[0, inf]，转为缺失值"
822,fuel_expense_per_month,业务范围异常,-17.5,,"超出[0, inf]，转为缺失值"
875,fuel_expense_per_month,业务范围异常,-20.8,,"超出[0, inf]，转为缺失值"
1090,fuel_expense_per_month,业务范围异常,-8.4,,"超出[0, inf]，转为缺失值"
1147,fuel_expense_per_month,业务范围异常,-34.9,,"超出[0, inf]，转为缺失值"
1268,fuel_expense_per_month,业务范围异常,-32.8,,"超出[0, inf]，转为缺失值"
1270,fuel_expense_per_month,业务范围异常,-53.3,,"超出[0, inf]，转为缺失值"
1381,fuel_expense_per_month,业务范围异常,-4.1,,"超出[0, inf]，转为缺失值"
1655,fuel_expense_per_month,业务范围异常,-46.2,,"超出[0, inf]，转为缺失值"
1925,fuel_expense_per_month,业务范围异常,-31.1,,"超出[0, inf]，转为缺失值"
2098,fuel_expense_per_month,业务范围异常,-1.0,,"超出[0, inf]，转为缺失值"
2420,fuel_expense_per_month,业务范围异常,-15.6,,"超出[0, inf]，转为缺失值"
2532,fuel_expense_per_month,业务范围异常,-2.5,,"超出[0, inf]，转为缺失值"
2986,fuel_expense_per_month,业务范围异常,-3.1,,"超出[0, inf]，转为缺失值"
3016,fuel_expense_per_month,业务范围异常,-35.7,,"超出[0, inf]，转为缺失值"
3439,fuel_expense_per_month,业务范围异常,-31.0,,"超出[0, inf]，转为缺失值"
3542,fuel_expense_per_month,业务范围异常,-30.4,,"超出[0, inf]，转为缺失值"
3770,fuel_expense_per_month,业务范围异常,-4.9,,"超出[0, inf]，转为缺失值"
3772,fuel_expense_per_month,业务范围异常,-27.0,,"超出[0, inf]，转为缺失值"
3918,fuel_expense_per_month,业务范围异常,-9.5,,"超出[0, inf]，转为缺失值"
3934,fuel_expense_per_month,业务范围异常,-10.8,,"超出[0, inf]，转为缺失值"
3935,fuel_expense_per_month,业务范围异常,-13.8,,"超出[0, inf]，转为缺失值"
4569,fuel_expense_per_month,业务范围异常,-49.9,,"超出[0, inf]，转为缺失值"
4632,fuel_expense_per_month,业务范围异常,-20.4,,"超出[0, inf]，转为缺失值"
4696,fuel_expense_per_month,业务范围异常,-28.6,,"超出[0, inf]，转为缺失值"
4775,fuel_expense_per_month,业务范围异常,-1.5,,"超出[0, inf]，转为缺失值"
4824,fuel_expense_per_month,业务范围异常,-99.7,,"超出[0, inf]，转为缺失值"
5028,fuel_expense_per_month,业务范围异常,-3.4,,"超出[0, inf]，转为缺失值"
5610,fuel_expense_per_month,业务范围异常,-23.2,,"超出[0, inf]，转为缺失值"
6055,fuel_expense_per_month,业务范围异常,-22.4,,"超出[0, inf]，转为缺失值"
6272,fuel_expense_per_month,业务范围异常,-6.7,,"超出[0, inf]，转为缺失值"
6440,fuel_expense_per_month,业务范围异常,-33.6,,"超出[0, inf]，转为缺失值"
6639,fuel_expense_per_month,业务范围异常,-52.3,,"超出[0, inf]，转为缺失值"
6652,fuel_expense_per_month,业务范围异常,-55.6,,"超出[0, inf]，转为缺失值"
6717,fuel_expense_per_month,业务范围异常,-40.1,,"超出[0, inf]，转为缺失值"
6896,fuel_expense_per_month,业务范围异常,-4.8,,"超出[0, inf]，转为缺失值"
6939,fuel_expense_per_month,业务范围异常,-7.5,,"超出[0, inf]，转为缺失值"
6985,fuel_expense_per_month,业务范围异常,-2.5,,"超出[0, inf]，转为缺失值"
7036,fuel_expense_per_month,业务范围异常,-7.7,,"超出[0, inf]，转为缺失值"
7498,fuel_expense_per_month,业务范围异常,-10.3,,"超出[0, inf]，转为缺失值"
7502,fuel_expense_per_month,业务范围异常,-10.3,,"超出[0, inf]，转为缺失值"
7509,fuel_expense_per_month,业务范围异常,-16.7,,"超出[0, inf]，转为缺失值"
7796,fuel_expense_per_month,业务范围异常,-4.8,,"超出[0, inf]，转为缺失值"
8365,fuel_expense_per_month,业务范围异常,-1.5,,"超出[0, inf]，转为缺失值"
8553,fuel_expense_per_month,业务范围异常,-4.1,,"超出[0, inf]，转为缺失值"
8777,fuel_expense_per_month,业务范围异常,-7.9,,"超出[0, inf]，转为缺失值"
8962,fuel_expense_per_month,业务范围异常,-7.8,,"超出[0, inf]，转为缺失值"
9405,fuel_expense_per_month,业务范围异常,-19.1,,"超出[0, inf]，转为缺失值"
9722,fuel_expense_per_month,业务范围异常,-5.9,,"超出[0, inf]，转为缺失值"
9954,fuel_expense_per_month,业务范围异常,-30.9,,"超出[0, inf]，转为缺失值"
10145,fuel_expense_per_month,业务范围异常,-15.5,,"超出[0, inf]，转为缺失值"
10196,fuel_expense_per_month,业务范围异常,-8.6,,"超出[0, inf]，转为缺失值"
10215,fuel_expense_per_month,业务范围异常,-68.2,,"超出[0, inf]，转为缺失值"
10291,fuel_expense_per_month,业务范围异常,-53.8,,"超出[0, inf]，转为缺失值"
10347,fuel_expense_per_month,业务范围异常,-18.2,,"超出[0, inf]，转为缺失值"
10396,fuel_expense_per_month,业务范围异常,-3.1,,"超出[0, inf]，转为缺失值"
11401,fuel_expense_per_month,业务范围异常,-26.7,,"超出[0, inf]，转为缺失值"
11438,fuel_expense_per_month,业务范围异常,-9.1,,"超出[0, inf]，转为缺失值"
11564,fuel_expense_per_month,业务范围异常,-5.3,,"超出[0, inf]，转为缺失值"
11740,fuel_expense_per_month,业务范围异常,-9.8,,"超出[0, inf]，转为缺失值"
11786,fuel_expense_per_month,业务范围异常,-1.3,,"超出[0, inf]，转为缺失值"
11790,fuel_expense_per_month,业务范围异常,-23.9,,"超出[0, inf]，转为缺失值"
11970,fuel_expense_per_month,业务范围异常,-5.8,,"超出[0, inf]，转为缺失值"
12408,fuel_expense_per_month,业务范围异常,-4.2,,"超出[0, inf]，转为缺失值"
12514,fuel_expense_per_month,业务范围异常,-7.6,,"超出[0, inf]，转为缺失值"
12594,fuel_expense_per_month,业务范围异常,-37.4,,"超出[0, inf]，转为缺失值"
12777,fuel_expense_per_month,业务范围异常,-6.9,,"超出[0, inf]，转为缺失值"
12813,fuel_expense_per_month,业务范围异常,-4.4,,"超出[0, inf]，转为缺失值"
13615,fuel_expense_per_month,业务范围异常,-11.7,,"超出[0, inf]，转为缺失值"
13686,fuel_expense_per_month,业务范围异常,-0.6,,"超出[0, inf]，转为缺失值"
13793,fuel_expense_per_month,业务范围异常,-7.0,,"超出[0, inf]，转为缺失值"
13989,fuel_expense_per_month,业务范围异常,-8.4,,"超出[0, inf]，转为缺失值"
14124,fuel_expense_per_month,业务范围异常,-4.1,,"超出[0, inf]，转为缺失值"
14463,fuel_expense_per_month,业务范围异常,-9.7,,"超出[0, inf]，转为缺失值"
