字段,阶段,缺失数,缺失率
age,原始数据,0,0.0
age,规则清洗后,0,0.0
age,参考插补后,0,0.0
annual_income,原始数据,0,0.0
annual_income,规则清洗后,0,0.0
annual_income,参考插补后,0,0.0
education_level,原始数据,500,0.01
education_level,规则清洗后,500,0.01
education_level,参考插补后,0,0.0
city_type,原始数据,0,0.0
city_type,规则清洗后,0,0.0
city_type,参考插补后,0,0.0
daily_commute_km,原始数据,0,0.0
daily_commute_km,规则清洗后,0,0.0
daily_commute_km,参考插补后,0,0.0
weekly_travel_distance_km,原始数据,0,0.0
weekly_travel_distance_km,规则清洗后,0,0.0
weekly_travel_distance_km,参考插补后,0,0.0
current_vehicle_type,原始数据,0,0.0
current_vehicle_type,规则清洗后,0,0.0
current_vehicle_type,参考插补后,0,0.0
vehicle_age_years,原始数据,0,0.0
vehicle_age_years,规则清洗后,0,0.0
vehicle_age_years,参考插补后,0,0.0
fuel_expense_per_month,原始数据,0,0.0
fuel_expense_per_month,规则清洗后,271,0.00542
fuel_expense_per_month,参考插补后,0,0.0
charging_station_accessibility,原始数据,500,0.01
charging_station_accessibility,规则清洗后,500,0.01
charging_station_accessibility,参考插补后,0,0.0
nearest_charging_station_km,原始数据,0,0.0
nearest_charging_station_km,规则清洗后,0,0.0
nearest_charging_station_km,参考插补后,0,0.0
home_charging_available,原始数据,0,0.0
home_charging_available,规则清洗后,0,0.0
home_charging_available,参考插补后,0,0.0
electricity_cost_per_kwh,原始数据,0,0.0
electricity_cost_per_kwh,规则清洗后,0,0.0
electricity_cost_per_kwh,参考插补后,0,0.0
environmental_awareness_score,原始数据,0,0.0
environmental_awareness_score,规则清洗后,0,0.0
environmental_awareness_score,参考插补后,0,0.0
government_incentive_awareness,原始数据,0,0.0
government_incentive_awareness,规则清洗后,0,0.0
government_incentive_awareness,参考插补后,0,0.0
technology_affinity_score,原始数据,0,0.0
technology_affinity_score,规则清洗后,0,0.0
technology_affinity_score,参考插补后,0,0.0
range_anxiety_score,原始数据,0,0.0
range_anxiety_score,规则清洗后,0,0.0
range_anxiety_score,参考插补后,0,0.0
battery_replacement_concern,原始数据,0,0.0
battery_replacement_concern,规则清洗后,0,0.0
battery_replacement_concern,参考插补后,0,0.0
ev_knowledge_score,原始数据,500,0.01
ev_knowledge_score,规则清洗后,500,0.01
ev_knowledge_score,参考插补后,0,0.0
previous_ev_experience,原始数据,0,0.0
previous_ev_experience,规则清洗后,0,0.0
previous_ev_experience,参考插补后,0,0.0
ev_adoption_likelihood,原始数据,0,0.0
ev_adoption_likelihood,规则清洗后,0,0.0
ev_adoption_likelihood,参考插补后,0,0.0
monthly_energy_consumption_kwh,原始数据,0,0.0
monthly_energy_consumption_kwh,规则清洗后,0,0.0
monthly_energy_consumption_kwh,参考插补后,0,0.0
monthly_charging_cost,原始数据,0,0.0
monthly_charging_cost,规则清洗后,0,0.0
monthly_charging_cost,参考插补后,0,0.0
